date,platform,followers,new_followers,lost_followers,net_growth,follower_growth_rate,source_type
2024-01-31,Instagram,228880,331,105,226,0.000988,Modeled from Kaggle follower count and post engagement
2024-02-01,Instagram,229007,234,107,127,0.000555,Modeled from Kaggle follower count and post engagement
2024-02-02,Instagram,229269,370,108,262,0.001144,Modeled from Kaggle follower count and post engagement
2024-02-03,Instagram,229833,666,102,564,0.002460,Modeled from Kaggle follower count and post engagement
2024-02-04,Instagram,230216,483,100,383,0.001666,Modeled from Kaggle follower count and post engagement
2024-02-05,Instagram,230413,295,98,197,0.000856,Modeled from Kaggle follower count and post engagement
2024-02-06,Instagram,230762,448,99,349,0.001515,Modeled from Kaggle follower count and post engagement
2024-02-07,Instagram,231007,350,105,245,0.001062,Modeled from Kaggle follower count and post engagement
2024-02-08,Instagram,231459,549,97,452,0.001957,Modeled from Kaggle follower count and post engagement
2024-02-09,Instagram,231648,296,107,189,0.000817,Modeled from Kaggle follower count and post engagement
2024-02-10,Instagram,231996,455,107,348,0.001502,Modeled from Kaggle follower count and post engagement
2024-02-11,Instagram,232413,516,99,417,0.001797,Modeled from Kaggle follower count and post engagement
2024-02-12,Instagram,232832,531,112,419,0.001803,Modeled from Kaggle follower count and post engagement
2024-02-13,Instagram,233318,595,109,486,0.002087,Modeled from Kaggle follower count and post engagement
2024-02-14,Instagram,233732,514,100,414,0.001774,Modeled from Kaggle follower count and post engagement
2024-02-15,Instagram,233992,359,99,260,0.001112,Modeled from Kaggle follower count and post engagement
2024-02-16,Instagram,234519,627,100,527,0.002252,Modeled from Kaggle follower count and post engagement
2024-02-17,Instagram,235025,611,105,506,0.002158,Modeled from Kaggle follower count and post engagement
2024-02-18,Instagram,235225,293,93,200,0.000851,Modeled from Kaggle follower count and post engagement
2024-02-19,Instagram,235787,666,104,562,0.002389,Modeled from Kaggle follower count and post engagement
2024-02-20,Instagram,236064,379,102,277,0.001175,Modeled from Kaggle follower count and post engagement
2024-02-21,Instagram,236275,317,106,211,0.000894,Modeled from Kaggle follower count and post engagement
2024-02-22,Instagram,236680,513,108,405,0.001714,Modeled from Kaggle follower count and post engagement
2024-02-23,Instagram,237171,600,109,491,0.002075,Modeled from Kaggle follower count and post engagement
2024-02-24,Instagram,237697,643,117,526,0.002218,Modeled from Kaggle follower count and post engagement
2024-02-25,Instagram,237979,387,105,282,0.001186,Modeled from Kaggle follower count and post engagement
2024-02-26,Instagram,238274,404,109,295,0.001240,Modeled from Kaggle follower count and post engagement
2024-02-27,Instagram,238708,541,107,434,0.001821,Modeled from Kaggle follower count and post engagement
2024-02-28,Instagram,239158,559,109,450,0.001885,Modeled from Kaggle follower count and post engagement
2024-02-29,Instagram,239428,381,111,270,0.001129,Modeled from Kaggle follower count and post engagement
2024-03-01,Instagram,239784,464,108,356,0.001487,Modeled from Kaggle follower count and post engagement
2024-03-02,Instagram,240418,739,105,634,0.002644,Modeled from Kaggle follower count and post engagement
2024-03-03,Instagram,240835,524,107,417,0.001734,Modeled from Kaggle follower count and post engagement
2024-03-04,Instagram,241113,388,110,278,0.001154,Modeled from Kaggle follower count and post engagement
2024-03-05,Instagram,241629,629,113,516,0.002140,Modeled from Kaggle follower count and post engagement
2024-03-06,Instagram,241999,472,102,370,0.001531,Modeled from Kaggle follower count and post engagement
2024-03-07,Instagram,242360,467,106,361,0.001492,Modeled from Kaggle follower count and post engagement
2024-03-08,Instagram,242797,544,107,437,0.001803,Modeled from Kaggle follower count and post engagement
2024-03-09,Instagram,243246,558,109,449,0.001849,Modeled from Kaggle follower count and post engagement
2024-03-10,Instagram,243656,521,111,410,0.001686,Modeled from Kaggle follower count and post engagement
2024-03-11,Instagram,243944,391,103,288,0.001182,Modeled from Kaggle follower count and post engagement
2024-03-12,Instagram,244403,572,113,459,0.001882,Modeled from Kaggle follower count and post engagement
2024-03-13,Instagram,244784,491,110,381,0.001559,Modeled from Kaggle follower count and post engagement
2024-03-14,Instagram,245331,648,101,547,0.002235,Modeled from Kaggle follower count and post engagement
2024-03-15,Instagram,245571,349,109,240,0.000978,Modeled from Kaggle follower count and post engagement
2024-03-16,Instagram,246023,565,113,452,0.001841,Modeled from Kaggle follower count and post engagement
2024-03-17,Instagram,246551,638,110,528,0.002146,Modeled from Kaggle follower count and post engagement
2024-03-18,Instagram,246981,544,114,430,0.001744,Modeled from Kaggle follower count and post engagement
2024-03-19,Instagram,247453,587,115,472,0.001911,Modeled from Kaggle follower count and post engagement
2024-03-20,Instagram,247928,585,110,475,0.001920,Modeled from Kaggle follower count and post engagement
2024-03-21,Instagram,248272,458,114,344,0.001387,Modeled from Kaggle follower count and post engagement
2024-03-22,Instagram,248637,463,98,365,0.001470,Modeled from Kaggle follower count and post engagement
2024-03-23,Instagram,248805,285,117,168,0.000676,Modeled from Kaggle follower count and post engagement
2024-03-24,Instagram,249186,492,111,381,0.001531,Modeled from Kaggle follower count and post engagement
2024-03-25,Instagram,249589,515,112,403,0.001617,Modeled from Kaggle follower count and post engagement
2024-03-26,Instagram,249972,498,115,383,0.001535,Modeled from Kaggle follower count and post engagement
2024-03-27,Instagram,250261,397,108,289,0.001156,Modeled from Kaggle follower count and post engagement
2024-03-28,Instagram,250604,451,108,343,0.001371,Modeled from Kaggle follower count and post engagement
2024-03-29,Instagram,251009,514,109,405,0.001616,Modeled from Kaggle follower count and post engagement
2024-03-30,Instagram,251298,405,116,289,0.001151,Modeled from Kaggle follower count and post engagement
2024-03-31,Instagram,251623,434,109,325,0.001293,Modeled from Kaggle follower count and post engagement
2024-04-01,Instagram,251627,117,113,4,0.000016,Modeled from Kaggle follower count and post engagement
2024-04-02,Instagram,252134,622,115,507,0.002015,Modeled from Kaggle follower count and post engagement
2024-04-03,Instagram,252644,619,109,510,0.002023,Modeled from Kaggle follower count and post engagement
2024-04-04,Instagram,253136,598,106,492,0.001947,Modeled from Kaggle follower count and post engagement
2024-04-05,Instagram,253698,669,107,562,0.002220,Modeled from Kaggle follower count and post engagement
2024-04-06,Instagram,254092,510,116,394,0.001553,Modeled from Kaggle follower count and post engagement
2024-04-07,Instagram,254615,645,122,523,0.002058,Modeled from Kaggle follower count and post engagement
2024-04-08,Instagram,255350,851,116,735,0.002887,Modeled from Kaggle follower count and post engagement
2024-04-09,Instagram,255761,520,109,411,0.001610,Modeled from Kaggle follower count and post engagement
2024-04-10,Instagram,255958,312,115,197,0.000770,Modeled from Kaggle follower count and post engagement
2024-04-11,Instagram,256490,653,121,532,0.002078,Modeled from Kaggle follower count and post engagement
2024-04-12,Instagram,256772,399,117,282,0.001099,Modeled from Kaggle follower count and post engagement
2024-04-13,Instagram,257182,527,117,410,0.001597,Modeled from Kaggle follower count and post engagement
2024-04-14,Instagram,257616,548,114,434,0.001688,Modeled from Kaggle follower count and post engagement
2024-04-15,Instagram,257821,317,112,205,0.000796,Modeled from Kaggle follower count and post engagement
2024-04-16,Instagram,258229,525,117,408,0.001582,Modeled from Kaggle follower count and post engagement
2024-04-17,Instagram,258746,629,112,517,0.002002,Modeled from Kaggle follower count and post engagement
2024-04-18,Instagram,259119,486,113,373,0.001442,Modeled from Kaggle follower count and post engagement
2024-04-19,Instagram,259618,615,116,499,0.001926,Modeled from Kaggle follower count and post engagement
2024-04-20,Instagram,259852,348,114,234,0.000901,Modeled from Kaggle follower count and post engagement
2024-04-21,Instagram,260332,596,116,480,0.001847,Modeled from Kaggle follower count and post engagement
2024-04-22,Instagram,260546,335,121,214,0.000822,Modeled from Kaggle follower count and post engagement
2024-04-23,Instagram,261129,705,122,583,0.002238,Modeled from Kaggle follower count and post engagement
2024-04-24,Instagram,261443,431,117,314,0.001202,Modeled from Kaggle follower count and post engagement
2024-04-25,Instagram,261765,437,115,322,0.001232,Modeled from Kaggle follower count and post engagement
2024-04-26,Instagram,262198,552,119,433,0.001654,Modeled from Kaggle follower count and post engagement
2024-04-27,Instagram,262437,361,122,239,0.000912,Modeled from Kaggle follower count and post engagement
2024-04-28,Instagram,262823,507,121,386,0.001471,Modeled from Kaggle follower count and post engagement
2024-04-29,Instagram,263228,526,121,405,0.001541,Modeled from Kaggle follower count and post engagement
2024-04-30,Instagram,263785,673,116,557,0.002116,Modeled from Kaggle follower count and post engagement
2024-05-01,Instagram,264300,626,111,515,0.001952,Modeled from Kaggle follower count and post engagement
2024-05-02,Instagram,264698,526,128,398,0.001506,Modeled from Kaggle follower count and post engagement
2024-05-03,Instagram,265106,521,113,408,0.001541,Modeled from Kaggle follower count and post engagement
2024-05-04,Instagram,265546,558,118,440,0.001660,Modeled from Kaggle follower count and post engagement
2024-05-05,Instagram,265851,427,122,305,0.001149,Modeled from Kaggle follower count and post engagement
2024-05-06,Instagram,266368,634,117,517,0.001945,Modeled from Kaggle follower count and post engagement
2024-05-07,Instagram,266600,352,120,232,0.000871,Modeled from Kaggle follower count and post engagement
2024-05-08,Instagram,267115,634,119,515,0.001932,Modeled from Kaggle follower count and post engagement
2024-05-09,Instagram,267498,495,112,383,0.001434,Modeled from Kaggle follower count and post engagement
2024-05-10,Instagram,267700,322,120,202,0.000755,Modeled from Kaggle follower count and post engagement
2024-05-11,Instagram,268075,498,123,375,0.001401,Modeled from Kaggle follower count and post engagement
2024-05-12,Instagram,268508,550,117,433,0.001615,Modeled from Kaggle follower count and post engagement
2024-05-13,Instagram,268722,348,134,214,0.000797,Modeled from Kaggle follower count and post engagement
2024-05-14,Instagram,268988,386,120,266,0.000990,Modeled from Kaggle follower count and post engagement
2024-05-15,Instagram,269514,651,125,526,0.001955,Modeled from Kaggle follower count and post engagement
2024-05-16,Instagram,269987,593,120,473,0.001755,Modeled from Kaggle follower count and post engagement
2024-05-17,Instagram,270567,700,120,580,0.002148,Modeled from Kaggle follower count and post engagement
2024-05-18,Instagram,270913,470,124,346,0.001279,Modeled from Kaggle follower count and post engagement
2024-05-19,Instagram,271324,537,126,411,0.001517,Modeled from Kaggle follower count and post engagement
2024-05-20,Instagram,271764,560,120,440,0.001622,Modeled from Kaggle follower count and post engagement
2024-05-21,Instagram,272007,363,120,243,0.000894,Modeled from Kaggle follower count and post engagement
2024-05-22,Instagram,272171,288,124,164,0.000603,Modeled from Kaggle follower count and post engagement
2024-05-23,Instagram,272380,332,123,209,0.000768,Modeled from Kaggle follower count and post engagement
2024-05-24,Instagram,272683,418,115,303,0.001112,Modeled from Kaggle follower count and post engagement
2024-05-25,Instagram,273012,450,121,329,0.001207,Modeled from Kaggle follower count and post engagement
2024-05-26,Instagram,273461,574,125,449,0.001645,Modeled from Kaggle follower count and post engagement
2024-05-27,Instagram,273845,507,123,384,0.001404,Modeled from Kaggle follower count and post engagement
2024-05-28,Instagram,274154,436,127,309,0.001128,Modeled from Kaggle follower count and post engagement
2024-05-29,Instagram,274452,415,117,298,0.001087,Modeled from Kaggle follower count and post engagement
2024-05-30,Instagram,274839,512,125,387,0.001410,Modeled from Kaggle follower count and post engagement
2024-05-31,Instagram,275167,447,119,328,0.001193,Modeled from Kaggle follower count and post engagement
2024-06-01,Instagram,275495,448,120,328,0.001192,Modeled from Kaggle follower count and post engagement
2024-06-02,Instagram,275944,578,129,449,0.001630,Modeled from Kaggle follower count and post engagement
2024-06-03,Instagram,276250,435,129,306,0.001109,Modeled from Kaggle follower count and post engagement
2024-06-04,Instagram,276710,582,122,460,0.001665,Modeled from Kaggle follower count and post engagement
2024-06-05,Instagram,276924,337,123,214,0.000773,Modeled from Kaggle follower count and post engagement
2024-06-06,Instagram,277093,292,123,169,0.000610,Modeled from Kaggle follower count and post engagement
2024-06-07,Instagram,277420,449,122,327,0.001180,Modeled from Kaggle follower count and post engagement
2024-06-08,Instagram,277717,421,124,297,0.001071,Modeled from Kaggle follower count and post engagement
2024-06-09,Instagram,278111,513,119,394,0.001419,Modeled from Kaggle follower count and post engagement
2024-06-10,Instagram,278308,324,127,197,0.000708,Modeled from Kaggle follower count and post engagement
2024-06-11,Instagram,278510,325,123,202,0.000726,Modeled from Kaggle follower count and post engagement
2024-06-12,Instagram,278851,463,122,341,0.001224,Modeled from Kaggle follower count and post engagement
2024-06-13,Instagram,279035,307,123,184,0.000660,Modeled from Kaggle follower count and post engagement
2024-06-14,Instagram,279444,527,118,409,0.001466,Modeled from Kaggle follower count and post engagement
2024-06-15,Instagram,279847,532,129,403,0.001442,Modeled from Kaggle follower count and post engagement
2024-06-16,Instagram,280322,596,121,475,0.001697,Modeled from Kaggle follower count and post engagement
2024-06-17,Instagram,280687,492,127,365,0.001302,Modeled from Kaggle follower count and post engagement
2024-06-18,Instagram,281189,628,126,502,0.001788,Modeled from Kaggle follower count and post engagement
2024-06-19,Instagram,281560,494,123,371,0.001319,Modeled from Kaggle follower count and post engagement
2024-06-20,Instagram,281926,490,124,366,0.001300,Modeled from Kaggle follower count and post engagement
2024-06-21,Instagram,282212,414,128,286,0.001014,Modeled from Kaggle follower count and post engagement
2024-06-22,Instagram,282594,512,130,382,0.001354,Modeled from Kaggle follower count and post engagement
2024-06-23,Instagram,282701,235,128,107,0.000379,Modeled from Kaggle follower count and post engagement
2024-06-24,Instagram,282860,278,119,159,0.000562,Modeled from Kaggle follower count and post engagement
2024-06-25,Instagram,283178,449,131,318,0.001124,Modeled from Kaggle follower count and post engagement
2024-06-26,Instagram,283414,364,128,236,0.000833,Modeled from Kaggle follower count and post engagement
2024-06-27,Instagram,283851,568,131,437,0.001542,Modeled from Kaggle follower count and post engagement
2024-06-28,Instagram,284309,590,132,458,0.001614,Modeled from Kaggle follower count and post engagement
2024-06-29,Instagram,284697,506,118,388,0.001365,Modeled from Kaggle follower count and post engagement
2024-06-30,Instagram,285295,726,128,598,0.002100,Modeled from Kaggle follower count and post engagement
2024-07-01,Instagram,285662,499,132,367,0.001286,Modeled from Kaggle follower count and post engagement
2024-07-02,Instagram,285838,307,131,176,0.000616,Modeled from Kaggle follower count and post engagement
2024-07-03,Instagram,286267,564,135,429,0.001501,Modeled from Kaggle follower count and post engagement
2024-07-04,Instagram,286547,413,133,280,0.000978,Modeled from Kaggle follower count and post engagement
2024-07-05,Instagram,286964,550,133,417,0.001455,Modeled from Kaggle follower count and post engagement
2024-07-06,Instagram,287255,423,132,291,0.001014,Modeled from Kaggle follower count and post engagement
2024-07-07,Instagram,287570,444,129,315,0.001097,Modeled from Kaggle follower count and post engagement
2024-07-08,Instagram,288086,653,137,516,0.001794,Modeled from Kaggle follower count and post engagement
2024-07-09,Instagram,288523,561,124,437,0.001517,Modeled from Kaggle follower count and post engagement
2024-07-10,Instagram,288883,496,136,360,0.001248,Modeled from Kaggle follower count and post engagement
2024-07-11,Instagram,289180,423,126,297,0.001028,Modeled from Kaggle follower count and post engagement
2024-07-12,Instagram,289409,357,128,229,0.000792,Modeled from Kaggle follower count and post engagement
2024-07-13,Instagram,289857,572,124,448,0.001548,Modeled from Kaggle follower count and post engagement
2024-07-14,Instagram,290301,579,135,444,0.001532,Modeled from Kaggle follower count and post engagement
2024-07-15,Instagram,290745,577,133,444,0.001529,Modeled from Kaggle follower count and post engagement
2024-07-16,Instagram,290891,282,136,146,0.000502,Modeled from Kaggle follower count and post engagement
2024-07-17,Instagram,291501,736,126,610,0.002097,Modeled from Kaggle follower count and post engagement
2024-07-18,Instagram,292024,652,129,523,0.001794,Modeled from Kaggle follower count and post engagement
2024-07-19,Instagram,292331,438,131,307,0.001051,Modeled from Kaggle follower count and post engagement
2024-07-20,Instagram,292653,452,130,322,0.001101,Modeled from Kaggle follower count and post engagement
2024-07-21,Instagram,293322,801,132,669,0.002286,Modeled from Kaggle follower count and post engagement
2024-07-22,Instagram,293770,583,135,448,0.001527,Modeled from Kaggle follower count and post engagement
2024-07-23,Instagram,294151,510,129,381,0.001297,Modeled from Kaggle follower count and post engagement
2024-07-24,Instagram,294645,627,133,494,0.001679,Modeled from Kaggle follower count and post engagement
2024-07-25,Instagram,295176,663,132,531,0.001802,Modeled from Kaggle follower count and post engagement
2024-07-26,Instagram,295425,378,129,249,0.000844,Modeled from Kaggle follower count and post engagement
2024-07-27,Instagram,295922,628,131,497,0.001682,Modeled from Kaggle follower count and post engagement
2024-07-28,Instagram,296449,659,132,527,0.001781,Modeled from Kaggle follower count and post engagement
2024-07-29,Instagram,296908,596,137,459,0.001548,Modeled from Kaggle follower count and post engagement
2024-07-30,Instagram,297248,469,129,340,0.001145,Modeled from Kaggle follower count and post engagement
2024-07-31,Instagram,297605,495,138,357,0.001201,Modeled from Kaggle follower count and post engagement
2024-08-01,Instagram,297867,399,137,262,0.000880,Modeled from Kaggle follower count and post engagement
2024-08-02,Instagram,298273,547,141,406,0.001363,Modeled from Kaggle follower count and post engagement
2024-08-03,Instagram,298417,272,128,144,0.000483,Modeled from Kaggle follower count and post engagement
2024-08-04,Instagram,299122,843,138,705,0.002362,Modeled from Kaggle follower count and post engagement
2024-08-05,Instagram,299415,419,126,293,0.000980,Modeled from Kaggle follower count and post engagement
2024-08-06,Instagram,299937,656,134,522,0.001743,Modeled from Kaggle follower count and post engagement
2024-08-07,Instagram,300237,434,134,300,0.001000,Modeled from Kaggle follower count and post engagement
2024-08-08,Instagram,300539,438,136,302,0.001006,Modeled from Kaggle follower count and post engagement
2024-08-09,Instagram,300967,564,136,428,0.001424,Modeled from Kaggle follower count and post engagement
2024-08-10,Instagram,301322,489,134,355,0.001180,Modeled from Kaggle follower count and post engagement
2024-08-11,Instagram,301830,647,139,508,0.001686,Modeled from Kaggle follower count and post engagement
2024-08-12,Instagram,302295,603,138,465,0.001541,Modeled from Kaggle follower count and post engagement
2024-08-13,Instagram,302869,716,142,574,0.001899,Modeled from Kaggle follower count and post engagement
2024-08-14,Instagram,303164,430,135,295,0.000974,Modeled from Kaggle follower count and post engagement
2024-08-15,Instagram,303724,694,134,560,0.001847,Modeled from Kaggle follower count and post engagement
2024-08-16,Instagram,304247,663,140,523,0.001722,Modeled from Kaggle follower count and post engagement
2024-08-17,Instagram,304691,583,139,444,0.001459,Modeled from Kaggle follower count and post engagement
2024-08-18,Instagram,305118,560,133,427,0.001401,Modeled from Kaggle follower count and post engagement
2024-08-19,Instagram,305403,422,137,285,0.000934,Modeled from Kaggle follower count and post engagement
2024-08-20,Instagram,306007,741,137,604,0.001978,Modeled from Kaggle follower count and post engagement
2024-08-21,Instagram,306508,638,137,501,0.001637,Modeled from Kaggle follower count and post engagement
2024-08-22,Instagram,306857,482,133,349,0.001139,Modeled from Kaggle follower count and post engagement
2024-08-23,Instagram,307169,456,144,312,0.001017,Modeled from Kaggle follower count and post engagement
2024-08-24,Instagram,307598,566,137,429,0.001397,Modeled from Kaggle follower count and post engagement
2024-08-25,Instagram,308031,579,146,433,0.001408,Modeled from Kaggle follower count and post engagement
2024-08-26,Instagram,308669,775,137,638,0.002071,Modeled from Kaggle follower count and post engagement
2024-08-27,Instagram,309327,796,138,658,0.002132,Modeled from Kaggle follower count and post engagement
2024-08-28,Instagram,309891,701,137,564,0.001823,Modeled from Kaggle follower count and post engagement
2024-08-29,Instagram,310276,525,140,385,0.001242,Modeled from Kaggle follower count and post engagement
2024-08-30,Instagram,310686,544,134,410,0.001321,Modeled from Kaggle follower count and post engagement
2024-08-31,Instagram,311063,512,135,377,0.001213,Modeled from Kaggle follower count and post engagement
2024-09-01,Instagram,311612,694,145,549,0.001765,Modeled from Kaggle follower count and post engagement
2024-09-02,Instagram,312168,700,144,556,0.001784,Modeled from Kaggle follower count and post engagement
2024-09-03,Instagram,312822,794,140,654,0.002095,Modeled from Kaggle follower count and post engagement
2024-09-04,Instagram,313256,579,145,434,0.001387,Modeled from Kaggle follower count and post engagement
2024-09-05,Instagram,313778,663,141,522,0.001666,Modeled from Kaggle follower count and post engagement
2024-09-06,Instagram,314084,446,140,306,0.000975,Modeled from Kaggle follower count and post engagement
2024-09-07,Instagram,314795,860,149,711,0.002264,Modeled from Kaggle follower count and post engagement
2024-09-08,Instagram,315058,407,144,263,0.000835,Modeled from Kaggle follower count and post engagement
2024-09-09,Instagram,315356,436,138,298,0.000946,Modeled from Kaggle follower count and post engagement
2024-09-10,Instagram,315751,536,141,395,0.001253,Modeled from Kaggle follower count and post engagement
2024-09-11,Instagram,316050,446,147,299,0.000947,Modeled from Kaggle follower count and post engagement
2024-09-12,Instagram,316491,585,144,441,0.001395,Modeled from Kaggle follower count and post engagement
2024-09-13,Instagram,317015,665,141,524,0.001656,Modeled from Kaggle follower count and post engagement
2024-09-14,Instagram,317137,271,149,122,0.000385,Modeled from Kaggle follower count and post engagement
2024-09-15,Instagram,317281,289,145,144,0.000454,Modeled from Kaggle follower count and post engagement
2024-09-16,Instagram,317811,675,145,530,0.001670,Modeled from Kaggle follower count and post engagement
2024-09-17,Instagram,318288,619,142,477,0.001501,Modeled from Kaggle follower count and post engagement
2024-09-18,Instagram,318819,678,147,531,0.001668,Modeled from Kaggle follower count and post engagement
2024-09-19,Instagram,319294,623,148,475,0.001490,Modeled from Kaggle follower count and post engagement
2024-09-20,Instagram,319701,550,143,407,0.001275,Modeled from Kaggle follower count and post engagement
2024-09-21,Instagram,320131,578,148,430,0.001345,Modeled from Kaggle follower count and post engagement
2024-09-22,Instagram,320657,675,149,526,0.001643,Modeled from Kaggle follower count and post engagement
2024-09-23,Instagram,321069,558,146,412,0.001285,Modeled from Kaggle follower count and post engagement
2024-09-24,Instagram,321708,785,146,639,0.001990,Modeled from Kaggle follower count and post engagement
2024-09-25,Instagram,322386,821,143,678,0.002108,Modeled from Kaggle follower count and post engagement
2024-09-26,Instagram,322854,608,140,468,0.001452,Modeled from Kaggle follower count and post engagement
2024-09-27,Instagram,323559,843,138,705,0.002184,Modeled from Kaggle follower count and post engagement
2024-09-28,Instagram,324085,673,147,526,0.001626,Modeled from Kaggle follower count and post engagement
2024-09-29,Instagram,324679,740,146,594,0.001833,Modeled from Kaggle follower count and post engagement
2024-09-30,Instagram,325213,675,141,534,0.001645,Modeled from Kaggle follower count and post engagement
2024-10-01,Instagram,325528,458,143,315,0.000969,Modeled from Kaggle follower count and post engagement
2024-10-02,Instagram,325882,498,144,354,0.001087,Modeled from Kaggle follower count and post engagement
2024-10-03,Instagram,326369,630,143,487,0.001494,Modeled from Kaggle follower count and post engagement
2024-10-04,Instagram,327072,848,145,703,0.002154,Modeled from Kaggle follower count and post engagement
2024-10-05,Instagram,327527,600,145,455,0.001391,Modeled from Kaggle follower count and post engagement
2024-10-06,Instagram,328012,628,143,485,0.001481,Modeled from Kaggle follower count and post engagement
2024-10-07,Instagram,328576,714,150,564,0.001719,Modeled from Kaggle follower count and post engagement
2024-10-08,Instagram,328966,537,147,390,0.001187,Modeled from Kaggle follower count and post engagement
2024-10-09,Instagram,329241,423,148,275,0.000836,Modeled from Kaggle follower count and post engagement
2024-10-10,Instagram,329836,745,150,595,0.001807,Modeled from Kaggle follower count and post engagement
2024-10-11,Instagram,330239,547,144,403,0.001222,Modeled from Kaggle follower count and post engagement
2024-10-12,Instagram,330422,326,143,183,0.000554,Modeled from Kaggle follower count and post engagement
2024-10-13,Instagram,330947,673,148,525,0.001589,Modeled from Kaggle follower count and post engagement
2024-10-14,Instagram,331615,813,145,668,0.002018,Modeled from Kaggle follower count and post engagement
2024-10-15,Instagram,331753,286,148,138,0.000416,Modeled from Kaggle follower count and post engagement
2024-10-16,Instagram,332285,680,148,532,0.001604,Modeled from Kaggle follower count and post engagement
2024-10-17,Instagram,332660,529,154,375,0.001129,Modeled from Kaggle follower count and post engagement
2024-10-18,Instagram,332987,476,149,327,0.000983,Modeled from Kaggle follower count and post engagement
2024-10-19,Instagram,333413,577,151,426,0.001279,Modeled from Kaggle follower count and post engagement
2024-10-20,Instagram,333863,599,149,450,0.001350,Modeled from Kaggle follower count and post engagement
2024-10-21,Instagram,334374,662,151,511,0.001531,Modeled from Kaggle follower count and post engagement
2024-10-22,Instagram,334888,661,147,514,0.001537,Modeled from Kaggle follower count and post engagement
2024-10-23,Instagram,335301,565,152,413,0.001233,Modeled from Kaggle follower count and post engagement
2024-10-24,Instagram,335956,807,152,655,0.001953,Modeled from Kaggle follower count and post engagement
2024-10-25,Instagram,336414,611,153,458,0.001363,Modeled from Kaggle follower count and post engagement
2024-10-26,Instagram,336851,586,149,437,0.001299,Modeled from Kaggle follower count and post engagement
2024-10-27,Instagram,337311,614,154,460,0.001366,Modeled from Kaggle follower count and post engagement
2024-10-28,Instagram,337581,421,151,270,0.000800,Modeled from Kaggle follower count and post engagement
2024-10-29,Instagram,338063,631,149,482,0.001428,Modeled from Kaggle follower count and post engagement
2024-10-30,Instagram,338461,547,149,398,0.001177,Modeled from Kaggle follower count and post engagement
2024-10-31,Instagram,339048,740,153,587,0.001734,Modeled from Kaggle follower count and post engagement
2024-11-01,Instagram,339694,798,152,646,0.001905,Modeled from Kaggle follower count and post engagement
2024-11-02,Instagram,340315,766,145,621,0.001828,Modeled from Kaggle follower count and post engagement
2024-11-03,Instagram,340743,573,145,428,0.001258,Modeled from Kaggle follower count and post engagement
2024-11-04,Instagram,341417,826,152,674,0.001978,Modeled from Kaggle follower count and post engagement
