post_id,source_dataset,original_post_id,platform,post_datetime,post_date,post_hour,weekday_name,posting_time_bucket,campaign_id,campaign_name,campaign_type,content_type,content_category,sentiment,influencer_tier,hashtag_count,content_length,has_media,is_verified,impressions,reach,likes,comments,shares,saves,clicks,engagement_rate,ctr
KG-POST_03162,aviral342/social-media-engagement-dataset,POST_03162,Instagram,2024-01-03 04:16:00,2024-01-03,4,Wednesday,Late Night,ORG-INSTAGRAM,Organic / Always On,Organic,Reel,Education,Neutral,Macro,20,172,TRUE,FALSE,13360,11223,8387,360,179,945,190,0.738847,0.014222
KG-POST_01038,aviral342/social-media-engagement-dataset,POST_01038,LinkedIn,2024-01-04 00:19:00,2024-01-04,0,Thursday,Late Night,ORG-LINKEDIN,Organic / Always On,Organic,Post,Technology,Positive,Macro,19,764,TRUE,TRUE,26761,16473,1708,113,456,259,565,0.094765,0.021113
KG-POST_04592,aviral342/social-media-engagement-dataset,POST_04592,Instagram,2024-01-04 05:36:00,2024-01-04,5,Thursday,Morning,ORG-INSTAGRAM,Organic / Always On,Organic,Story,Technology,Positive,Macro,15,1954,TRUE,FALSE,45738,27736,6145,224,238,517,567,0.155757,0.012397
KG-POST_00159,aviral342/social-media-engagement-dataset,POST_00159,Instagram,2024-01-04 10:49:00,2024-01-04,10,Thursday,Morning,ORG-INSTAGRAM,Organic / Always On,Organic,Story,Fitness,Neutral,Macro,26,1064,TRUE,FALSE,21640,12959,4399,125,33,787,255,0.246950,0.011784
KG-POST_02919,aviral342/social-media-engagement-dataset,POST_02919,X/Twitter,2024-01-04 12:44:00,2024-01-04,12,Thursday,Afternoon,ORG-X_TWITTER,Organic / Always On,Organic,Thread,Fitness,Neutral,Macro,21,880,TRUE,TRUE,47775,32122,2837,260,1505,332,608,0.103276,0.012726
KG-POST_02915,aviral342/social-media-engagement-dataset,POST_02915,Instagram,2024-01-04 16:45:00,2024-01-04,16,Thursday,Afternoon,ORG-INSTAGRAM,Organic / Always On,Organic,Reel,Food,Positive,Macro,20,175,TRUE,FALSE,21531,13862,1974,308,125,662,242,0.142539,0.011240
KG-POST_04272,aviral342/social-media-engagement-dataset,POST_04272,YouTube,2024-01-04 20:52:00,2024-01-04,20,Thursday,Evening,ORG-YOUTUBE,Organic / Always On,Organic,Live,Travel,Positive,Macro,15,185,TRUE,FALSE,22497,18412,19612,881,609,3392,303,1.088767,0.013468
KG-POST_01023,aviral342/social-media-engagement-dataset,POST_01023,YouTube,2024-01-04 23:13:00,2024-01-04,23,Thursday,Late Night,ORG-YOUTUBE,Organic / Always On,Organic,Video,Gaming,Neutral,Macro,29,20,TRUE,FALSE,886932,540861,6523,343,247,98,10932,0.008130,0.012326
KG-POST_02704,aviral342/social-media-engagement-dataset,POST_02704,Instagram,2024-01-05 09:59:00,2024-01-05,9,Friday,Morning,ORG-INSTAGRAM,Organic / Always On,Organic,Reel,Food,Neutral,Macro,8,588,TRUE,TRUE,935,603,6327,440,130,289,12,7.685561,0.012834
KG-POST_01750,aviral342/social-media-engagement-dataset,POST_01750,Instagram,2024-01-05 14:17:00,2024-01-05,14,Friday,Afternoon,ORG-INSTAGRAM,Organic / Always On,Organic,Carousel,Fitness,Positive,Macro,11,1798,TRUE,FALSE,41648,30188,1687,73,134,732,644,0.063052,0.015463
KG-POST_03697,aviral342/social-media-engagement-dataset,POST_03697,YouTube,2024-01-06 14:21:00,2024-01-06,14,Saturday,Afternoon,ORG-YOUTUBE,Organic / Always On,Organic,Short,Lifestyle,Neutral,Mid-tier,1,566,TRUE,TRUE,720597,639847,9264,590,1840,1210,15988,0.017907,0.022187
KG-POST_02615,aviral342/social-media-engagement-dataset,POST_02615,X/Twitter,2024-01-06 19:56:00,2024-01-06,19,Saturday,Evening,ORG-X_TWITTER,Organic / Always On,Organic,Tweet,Fashion,Neutral,Macro,13,622,TRUE,FALSE,75745,54433,156,131,1223,121,971,0.021533,0.012819
KG-POST_04168,aviral342/social-media-engagement-dataset,POST_04168,Instagram,2024-01-07 02:55:00,2024-01-07,2,Sunday,Late Night,ORG-INSTAGRAM,Organic / Always On,Organic,Reel,Lifestyle,Positive,Macro,7,53,TRUE,TRUE,29382,24801,8448,490,202,993,439,0.344871,0.014941
KG-POST_02667,aviral342/social-media-engagement-dataset,POST_02667,Instagram,2024-01-07 03:43:00,2024-01-07,3,Sunday,Late Night,ORG-INSTAGRAM,Organic / Always On,Organic,Story,Fashion,Positive,Macro,12,565,TRUE,FALSE,833,560,1242,270,186,524,14,2.667467,0.016807
KG-POST_00013,aviral342/social-media-engagement-dataset,POST_00013,TikTok,2024-01-07 05:44:00,2024-01-07,5,Sunday,Morning,ORG-TIKTOK,Organic / Always On,Organic,Video,Fitness,Positive,Macro,22,598,TRUE,FALSE,439758,320663,37311,858,4513,2823,6130,0.103477,0.013939
KG-POST_00600,aviral342/social-media-engagement-dataset,POST_00600,Instagram,2024-01-07 05:55:00,2024-01-07,5,Sunday,Morning,ORG-INSTAGRAM,Organic / Always On,Organic,Story,Fashion,Positive,Macro,2,915,TRUE,FALSE,47958,39945,5138,49,140,245,756,0.116185,0.015764
KG-POST_02620,aviral342/social-media-engagement-dataset,POST_02620,X/Twitter,2024-01-07 07:56:00,2024-01-07,7,Sunday,Morning,ORG-X_TWITTER,Organic / Always On,Organic,Retweet,Fitness,Negative,Macro,1,311,TRUE,TRUE,24696,19079,4492,244,997,383,305,0.247651,0.012350
KG-POST_03937,aviral342/social-media-engagement-dataset,POST_03937,X/Twitter,2024-01-07 11:00:00,2024-01-07,11,Sunday,Morning,ORG-X_TWITTER,Organic / Always On,Organic,Retweet,Fashion,Neutral,Micro,23,818,TRUE,FALSE,27503,19732,3186,177,1551,16,378,0.179253,0.013744
KG-POST_00255,aviral342/social-media-engagement-dataset,POST_00255,Instagram,2024-01-07 11:19:00,2024-01-07,11,Sunday,Morning,ORG-INSTAGRAM,Organic / Always On,Organic,Carousel,Health,Negative,Macro,21,188,TRUE,TRUE,760,505,9902,174,48,226,10,13.618421,0.013158
KG-POST_01458,aviral342/social-media-engagement-dataset,POST_01458,LinkedIn,2024-01-07 13:01:00,2024-01-07,13,Sunday,Afternoon,ORG-LINKEDIN,Organic / Always On,Organic,Article,Gaming,Neutral,Macro,10,905,TRUE,FALSE,18554,12376,615,72,309,208,482,0.064892,0.025978
KG-POST_04061,aviral342/social-media-engagement-dataset,POST_04061,X/Twitter,2024-01-08 04:28:00,2024-01-08,4,Monday,Late Night,ORG-X_TWITTER,Organic / Always On,Organic,Tweet,Lifestyle,Positive,Macro,6,1692,TRUE,FALSE,50483,34274,280,240,940,119,574,0.031278,0.011370
KG-POST_02972,aviral342/social-media-engagement-dataset,POST_02972,Instagram,2024-01-08 05:59:00,2024-01-08,5,Monday,Morning,ORG-INSTAGRAM,Organic / Always On,Organic,Reel,Travel,Positive,Macro,6,561,TRUE,TRUE,46180,41032,545,440,95,238,488,0.028540,0.010567
KG-POST_00620,aviral342/social-media-engagement-dataset,POST_00620,LinkedIn,2024-01-08 06:19:00,2024-01-08,6,Monday,Morning,ORG-LINKEDIN,Organic / Always On,Organic,Article,Lifestyle,Neutral,Macro,24,863,TRUE,FALSE,14227,11035,1635,90,194,248,226,0.152316,0.015885
KG-POST_02131,aviral342/social-media-engagement-dataset,POST_02131,Instagram,2024-01-08 18:33:00,2024-01-08,18,Monday,Evening,ORG-INSTAGRAM,Organic / Always On,Organic,Carousel,Health,Positive,Micro,20,537,TRUE,FALSE,23890,14479,6342,62,163,486,299,0.295228,0.012516
KG-POST_01977,aviral342/social-media-engagement-dataset,POST_01977,X/Twitter,2024-01-08 20:04:00,2024-01-08,20,Monday,Evening,ORG-X_TWITTER,Organic / Always On,Organic,Poll,Fashion,Positive,Macro,8,180,TRUE,FALSE,1947,1332,145,183,223,282,40,0.427838,0.020544
KG-POST_04253,aviral342/social-media-engagement-dataset,POST_04253,X/Twitter,2024-01-08 21:37:00,2024-01-08,21,Monday,Evening,ORG-X_TWITTER,Organic / Always On,Organic,Poll,Health,Negative,Micro,26,1660,TRUE,TRUE,96934,76469,4073,129,1122,425,1500,0.059308,0.015474
KG-POST_02509,aviral342/social-media-engagement-dataset,POST_02509,TikTok,2024-01-09 02:24:00,2024-01-09,2,Tuesday,Late Night,ORG-TIKTOK,Organic / Always On,Organic,Video,Business,Negative,Macro,18,478,FALSE,FALSE,242685,217608,33034,309,2036,2609,3166,0.156532,0.013046
KG-POST_00885,aviral342/social-media-engagement-dataset,POST_00885,TikTok,2024-01-09 03:27:00,2024-01-09,3,Tuesday,Late Night,ORG-TIKTOK,Organic / Always On,Organic,Duet,Fashion,Neutral,Macro,24,491,TRUE,FALSE,75043,68871,8731,994,1938,577,820,0.163106,0.010927
KG-POST_03590,aviral342/social-media-engagement-dataset,POST_03590,Instagram,2024-01-09 03:40:00,2024-01-09,3,Tuesday,Late Night,ORG-INSTAGRAM,Organic / Always On,Organic,Carousel,Food,Negative,Micro,28,726,TRUE,FALSE,3713,2758,7684,20,151,125,34,2.149205,0.009157
KG-POST_04753,aviral342/social-media-engagement-dataset,POST_04753,LinkedIn,2024-01-09 11:48:00,2024-01-09,11,Tuesday,Morning,ORG-LINKEDIN,Organic / Always On,Organic,Post,Health,Positive,Macro,18,755,TRUE,FALSE,18259,12616,472,94,425,112,316,0.060409,0.017307
KG-POST_03402,aviral342/social-media-engagement-dataset,POST_03402,Instagram,2024-01-09 12:59:00,2024-01-09,12,Tuesday,Afternoon,ORG-INSTAGRAM,Organic / Always On,Organic,Story,Technology,Negative,Macro,3,965,TRUE,FALSE,37752,22700,8440,165,264,483,558,0.247722,0.014781
KG-POST_04525,aviral342/social-media-engagement-dataset,POST_04525,TikTok,2024-01-09 13:30:00,2024-01-09,13,Tuesday,Afternoon,ORG-TIKTOK,Organic / Always On,Organic,Stitch,Lifestyle,Positive,Micro,19,272,TRUE,FALSE,302431,203556,46571,441,758,1829,3521,0.164001,0.011642
KG-POST_03917,aviral342/social-media-engagement-dataset,POST_03917,LinkedIn,2024-01-09 16:37:00,2024-01-09,16,Tuesday,Afternoon,ORG-LINKEDIN,Organic / Always On,Organic,Poll,Health,Neutral,Mid-tier,20,1079,FALSE,TRUE,14918,9996,794,7,127,32,385,0.064352,0.025808
KG-POST_02783,aviral342/social-media-engagement-dataset,POST_02783,YouTube,2024-01-09 19:32:00,2024-01-09,19,Tuesday,Evening,ORG-YOUTUBE,Organic / Always On,Organic,Community Post,Education,Positive,Macro,2,339,TRUE,FALSE,726267,667119,13734,469,172,4479,18080,0.025960,0.024894
KG-POST_01461,aviral342/social-media-engagement-dataset,POST_01461,X/Twitter,2024-01-10 10:00:00,2024-01-10,10,Wednesday,Morning,CMP-2024-X_TWITTER-01,2024 Q1 Awareness Sprint,Paid,Thread,Fitness,Neutral,Macro,29,303,TRUE,FALSE,57922,38860,4449,21,209,448,952,0.088516,0.016436
KG-POST_04354,aviral342/social-media-engagement-dataset,POST_04354,YouTube,2024-01-10 11:46:00,2024-01-10,11,Wednesday,Morning,CMP-2024-YOUTUBE-01,2024 Q1 Awareness Sprint,Paid,Community Post,Lifestyle,Neutral,Macro,5,1444,TRUE,FALSE,470105,338377,4676,219,376,4140,6815,0.020019,0.014497
KG-POST_00471,aviral342/social-media-engagement-dataset,POST_00471,Instagram,2024-01-10 14:57:00,2024-01-10,14,Wednesday,Afternoon,ORG-INSTAGRAM,Organic / Always On,Organic,Photo,Technology,Negative,Macro,15,695,FALSE,FALSE,43316,32383,9883,67,77,382,503,0.240304,0.011612
KG-POST_04025,aviral342/social-media-engagement-dataset,POST_04025,LinkedIn,2024-01-10 15:51:00,2024-01-10,15,Wednesday,Afternoon,CMP-2024-LINKEDIN-01,2024 Q1 Awareness Sprint,Paid,Poll,Lifestyle,Neutral,Macro,7,866,FALSE,TRUE,15208,9223,1895,17,158,205,286,0.149592,0.018806
KG-POST_04594,aviral342/social-media-engagement-dataset,POST_04594,X/Twitter,2024-01-10 16:29:00,2024-01-10,16,Wednesday,Afternoon,CMP-2024-X_TWITTER-01,2024 Q1 Awareness Sprint,Paid,Thread,Education,Neutral,Macro,15,228,TRUE,FALSE,45335,28553,400,4,1034,106,574,0.034058,0.012661
KG-POST_03823,aviral342/social-media-engagement-dataset,POST_03823,TikTok,2024-01-10 21:11:00,2024-01-10,21,Wednesday,Evening,CMP-2024-TIKTOK-01,2024 Q1 Awareness Sprint,Paid,Stitch,Entertainment,Positive,Mid-tier,6,87,TRUE,FALSE,187442,146268,35475,1898,2937,1847,1709,0.224907,0.009117
KG-POST_04447,aviral342/social-media-engagement-dataset,POST_04447,Instagram,2024-01-10 21:32:00,2024-01-10,21,Wednesday,Evening,CMP-2024-INSTAGRAM-01,2024 Q1 Awareness Sprint,Paid,Photo,Food,Neutral,Macro,9,1786,FALSE,FALSE,14888,11774,5088,262,199,660,142,0.417047,0.009538
KG-POST_02198,aviral342/social-media-engagement-dataset,POST_02198,TikTok,2024-01-10 22:53:00,2024-01-10,22,Wednesday,Late Night,ORG-TIKTOK,Organic / Always On,Organic,Duet,Lifestyle,Positive,Macro,18,447,TRUE,FALSE,479514,301180,32338,66,969,2703,6864,0.075235,0.014314
KG-POST_04612,aviral342/social-media-engagement-dataset,POST_04612,Instagram,2024-01-11 11:14:00,2024-01-11,11,Thursday,Morning,CMP-2024-INSTAGRAM-01,2024 Q1 Awareness Sprint,Paid,Story,Health,Neutral,Nano,21,1100,TRUE,TRUE,32084,23573,2366,255,107,535,443,0.101702,0.013808
KG-POST_03896,aviral342/social-media-engagement-dataset,POST_03896,TikTok,2024-01-11 14:24:00,2024-01-11,14,Thursday,Afternoon,ORG-TIKTOK,Organic / Always On,Organic,Duet,Technology,Neutral,Macro,5,152,TRUE,FALSE,71771,41776,30187,821,4505,2764,986,0.533321,0.013738
KG-POST_02056,aviral342/social-media-engagement-dataset,POST_02056,LinkedIn,2024-01-11 21:15:00,2024-01-11,21,Thursday,Evening,ORG-LINKEDIN,Organic / Always On,Organic,Article,Sports,Neutral,Macro,13,931,TRUE,TRUE,25386,17852,170,19,259,143,463,0.023281,0.018238
KG-POST_00991,aviral342/social-media-engagement-dataset,POST_00991,TikTok,2024-01-12 08:41:00,2024-01-12,8,Friday,Morning,ORG-TIKTOK,Organic / Always On,Organic,Video,Health,Positive,Mid-tier,28,21,TRUE,FALSE,323063,212508,31852,1590,801,616,4521,0.107902,0.013994
KG-POST_04724,aviral342/social-media-engagement-dataset,POST_04724,X/Twitter,2024-01-12 12:53:00,2024-01-12,12,Friday,Afternoon,ORG-X_TWITTER,Organic / Always On,Organic,Poll,Health,Neutral,Macro,16,1184,FALSE,FALSE,29943,19751,2640,172,1471,329,342,0.154026,0.011422
KG-POST_02826,aviral342/social-media-engagement-dataset,POST_02826,TikTok,2024-01-12 15:29:00,2024-01-12,15,Friday,Afternoon,ORG-TIKTOK,Organic / Always On,Organic,Duet,Gaming,Neutral,Macro,26,16,FALSE,TRUE,20430,12981,25781,1671,3381,224,226,1.520166,0.011062
KG-POST_01847,aviral342/social-media-engagement-dataset,POST_01847,Instagram,2024-01-12 20:59:00,2024-01-12,20,Friday,Evening,ORG-INSTAGRAM,Organic / Always On,Organic,Carousel,Food,Neutral,Macro,27,1250,TRUE,FALSE,663,582,4453,438,291,248,6,8.190045,0.009050
KG-POST_00057,aviral342/social-media-engagement-dataset,POST_00057,Instagram,2024-01-12 21:46:00,2024-01-12,21,Friday,Evening,ORG-INSTAGRAM,Organic / Always On,Organic,Photo,Gaming,Positive,Macro,1,1804,TRUE,TRUE,10052,6568,5741,410,126,350,136,0.659272,0.013530
KG-POST_01124,aviral342/social-media-engagement-dataset,POST_01124,TikTok,2024-01-13 00:33:00,2024-01-13,0,Saturday,Late Night,CMP-2024-TIKTOK-01,2024 Q1 Awareness Sprint,Paid,Stitch,Fitness,Positive,Macro,9,467,TRUE,FALSE,232603,161063,38874,81,4338,1319,2990,0.191795,0.012855
KG-POST_01437,aviral342/social-media-engagement-dataset,POST_01437,X/Twitter,2024-01-13 07:02:00,2024-01-13,7,Saturday,Morning,CMP-2024-X_TWITTER-01,2024 Q1 Awareness Sprint,Paid,Thread,Health,Positive,Macro,16,554,TRUE,FALSE,67504,53120,2813,177,396,147,1320,0.052338,0.019554
KG-POST_04128,aviral342/social-media-engagement-dataset,POST_04128,YouTube,2024-01-13 12:13:00,2024-01-13,12,Saturday,Afternoon,CMP-2024-YOUTUBE-01,2024 Q1 Awareness Sprint,Paid,Community Post,Health,Negative,Macro,13,1970,TRUE,FALSE,677761,601662,4016,921,1195,1270,11312,0.010921,0.016690
KG-POST_00343,aviral342/social-media-engagement-dataset,POST_00343,Instagram,2024-01-13 18:18:00,2024-01-13,18,Saturday,Evening,ORG-INSTAGRAM,Organic / Always On,Organic,Reel,Fitness,Neutral,Macro,7,205,TRUE,FALSE,45999,28637,1899,280,211,436,770,0.061436,0.016739
KG-POST_04713,aviral342/social-media-engagement-dataset,POST_04713,X/Twitter,2024-01-13 18:53:00,2024-01-13,18,Saturday,Evening,CMP-2024-X_TWITTER-01,2024 Q1 Awareness Sprint,Paid,Tweet,Fashion,Neutral,Macro,24,1569,TRUE,FALSE,17951,14668,1910,32,362,484,300,0.155312,0.016712
KG-POST_04636,aviral342/social-media-engagement-dataset,POST_04636,YouTube,2024-01-13 19:06:00,2024-01-13,19,Saturday,Evening,ORG-YOUTUBE,Organic / Always On,Organic,Community Post,Technology,Neutral,Macro,22,739,TRUE,FALSE,639335,556085,9823,417,589,3961,13202,0.023133,0.020650
KG-POST_04642,aviral342/social-media-engagement-dataset,POST_04642,X/Twitter,2024-01-14 00:50:00,2024-01-14,0,Sunday,Late Night,ORG-X_TWITTER,Organic / Always On,Organic,Thread,Travel,Positive,Macro,4,1229,TRUE,FALSE,63465,51045,2576,103,975,221,753,0.061057,0.011865
KG-POST_03566,aviral342/social-media-engagement-dataset,POST_03566,LinkedIn,2024-01-14 05:41:00,2024-01-14,5,Sunday,Morning,ORG-LINKEDIN,Organic / Always On,Organic,Poll,Sports,Positive,Mid-tier,1,550,TRUE,FALSE,2194,1348,1545,120,12,209,54,0.859617,0.024613
KG-POST_04720,aviral342/social-media-engagement-dataset,POST_04720,YouTube,2024-01-14 09:07:00,2024-01-14,9,Sunday,Morning,ORG-YOUTUBE,Organic / Always On,Organic,Video,Health,Positive,Macro,10,160,TRUE,FALSE,398393,262143,7987,542,791,3449,6372,0.032051,0.015994
KG-POST_04559,aviral342/social-media-engagement-dataset,POST_04559,YouTube,2024-01-14 21:35:00,2024-01-14,21,Sunday,Evening,ORG-YOUTUBE,Organic / Always On,Organic,Short,Gaming,Negative,Macro,12,595,FALSE,FALSE,711542,453786,1100,821,1467,4223,11517,0.010696,0.016186
KG-POST_02951,aviral342/social-media-engagement-dataset,POST_02951,TikTok,2024-01-15 05:40:00,2024-01-15,5,Monday,Morning,ORG-TIKTOK,Organic / Always On,Organic,Stitch,Business,Neutral,Macro,8,20,TRUE,FALSE,257816,185344,19793,1018,4074,1086,3502,0.100735,0.013583
KG-POST_00338,aviral342/social-media-engagement-dataset,POST_00338,LinkedIn,2024-01-15 22:34:00,2024-01-15,22,Monday,Late Night,ORG-LINKEDIN,Organic / Always On,Organic,Article,Fashion,Neutral,Micro,1,1264,FALSE,FALSE,23296,17675,1574,48,478,7,433,0.090445,0.018587
KG-POST_00110,aviral342/social-media-engagement-dataset,POST_00110,Instagram,2024-01-16 02:59:00,2024-01-16,2,Tuesday,Late Night,CMP-2024-INSTAGRAM-01,2024 Q1 Awareness Sprint,Paid,Story,Education,Positive,Macro,25,1100,TRUE,FALSE,2900,2436,150,43,291,309,43,0.273448,0.014828
KG-POST_02563,aviral342/social-media-engagement-dataset,POST_02563,Instagram,2024-01-16 08:26:00,2024-01-16,8,Tuesday,Morning,CMP-2024-INSTAGRAM-01,2024 Q1 Awareness Sprint,Paid,Photo,Technology,Positive,Macro,20,170,TRUE,FALSE,34673,31770,9875,148,105,464,701,0.305483,0.020217
KG-POST_02331,aviral342/social-media-engagement-dataset,POST_02331,X/Twitter,2024-01-16 15:13:00,2024-01-16,15,Tuesday,Afternoon,ORG-X_TWITTER,Organic / Always On,Organic,Retweet,Technology,Negative,Mid-tier,0,702,TRUE,TRUE,19802,12492,2508,106,230,32,353,0.145238,0.017826
KG-POST_02175,aviral342/social-media-engagement-dataset,POST_02175,Instagram,2024-01-16 23:45:00,2024-01-16,23,Tuesday,Late Night,CMP-2024-INSTAGRAM-01,2024 Q1 Awareness Sprint,Paid,Story,Education,Positive,Macro,9,231,TRUE,FALSE,4199,3498,1379,34,296,917,66,0.625387,0.015718
KG-POST_02110,aviral342/social-media-engagement-dataset,POST_02110,YouTube,2024-01-17 06:33:00,2024-01-17,6,Wednesday,Morning,ORG-YOUTUBE,Organic / Always On,Organic,Video,Gaming,Positive,Nano,6,504,FALSE,FALSE,190721,145295,4368,808,275,807,3560,0.032812,0.018666
KG-POST_01100,aviral342/social-media-engagement-dataset,POST_01100,X/Twitter,2024-01-17 08:35:00,2024-01-17,8,Wednesday,Morning,CMP-2024-X_TWITTER-01,2024 Q1 Awareness Sprint,Paid,Poll,Sports,Positive,Macro,7,1306,TRUE,TRUE,53196,32044,3399,215,947,380,909,0.092883,0.017088
KG-POST_04114,aviral342/social-media-engagement-dataset,POST_04114,Instagram,2024-01-17 13:01:00,2024-01-17,13,Wednesday,Afternoon,ORG-INSTAGRAM,Organic / Always On,Organic,Reel,Health,Positive,Macro,21,99,TRUE,TRUE,40620,27701,412,142,210,74,464,0.020630,0.011423
KG-POST_02435,aviral342/social-media-engagement-dataset,POST_02435,YouTube,2024-01-17 16:08:00,2024-01-17,16,Wednesday,Afternoon,ORG-YOUTUBE,Organic / Always On,Organic,Live,Health,Neutral,Macro,24,34,TRUE,TRUE,725703,484046,19639,806,321,2092,11419,0.031498,0.015735
KG-POST_04614,aviral342/social-media-engagement-dataset,POST_04614,Instagram,2024-01-17 17:42:00,2024-01-17,17,Wednesday,Evening,ORG-INSTAGRAM,Organic / Always On,Organic,Photo,Technology,Neutral,Macro,10,211,TRUE,FALSE,3706,2976,3668,263,261,470,51,1.257960,0.013761
KG-POST_04867,aviral342/social-media-engagement-dataset,POST_04867,X/Twitter,2024-01-17 19:59:00,2024-01-17,19,Wednesday,Evening,CMP-2024-X_TWITTER-01,2024 Q1 Awareness Sprint,Paid,Poll,Fitness,Positive,Macro,19,183,FALSE,FALSE,94651,67948,26,207,1207,187,1797,0.017189,0.018986
KG-POST_03576,aviral342/social-media-engagement-dataset,POST_03576,X/Twitter,2024-01-17 22:12:00,2024-01-17,22,Wednesday,Late Night,ORG-X_TWITTER,Organic / Always On,Organic,Retweet,Fitness,Neutral,Mid-tier,7,1786,TRUE,TRUE,37624,25222,3940,142,1944,55,444,0.161626,0.011801
KG-POST_00910,aviral342/social-media-engagement-dataset,POST_00910,X/Twitter,2024-01-18 11:21:00,2024-01-18,11,Thursday,Morning,CMP-2024-X_TWITTER-01,2024 Q1 Awareness Sprint,Paid,Poll,Fashion,Negative,Macro,24,1358,TRUE,FALSE,89627,76023,1613,51,1235,346,1025,0.036206,0.011436
